,source,target,maxspeed,name,length,tunnel,osmid,ref,width,bridge,railway,oneway,lanes,geometry,service
1732,3184156984,7885525491,,,126.80299999999998,,473291194,,,,rail,False,,"LINESTRING (-8.9439182 39.6891104, -8.9437502 39.6893758, -8.9435961 39.6896836, -8.9434924 39.6899501, -8.943418 39.6901802)",
1733,3203271040,3203289908,90,Linha do Oeste,53.323,,473291164,,,,rail,False,,,
1734,3203271040,3203280876,90,,389.83599999999996,,"[314277929, 473291165]",,,,rail,False,,"LINESTRING (-8.9843186 39.6566321, -8.9844828 39.6563594, -8.9845996 39.6561796, -8.9846881 39.6560188, -8.9849383 39.6555373, -8.985654 39.6541598, -8.9860545 39.653392)",siding
1735,3203271047,3203271048,90,,42.97,,473291158,,,,rail,False,,,siding
1736,3203271047,4674313665,,,31.834,,473291166,,,,rail,False,,,yard
1737,3203271047,3203280876,90,,149.30900000000003,,473291156,,,,rail,False,,"LINESTRING (-8.9866983 39.6521441, -8.9863911 39.6527509, -8.9860545 39.653392)",siding
1738,3203271048,3203289918,90,Linha do Oeste,41.337,,473291159,,,,rail,False,,,
1739,3203271048,4178377134,90,Linha do Oeste,7923.043000000001,,"[158200556, 473291139, 38565428, 158200531]",,,yes,rail,False,,"LINESTRING (-8.9868405 39.6517735, -8.9905764 39.6445813, -8.9908221 39.6441609, -8.9910975 39.6437971, -8.9914125 39.6434426, -8.9933557 39.641549, -8.9938748 39.640965, -8.994208 39.6405078, -8.9954257 39.6383056, -8.9977765 39.6338095, -8.9979816 39.6333694, -8.9982415 39.6327295, -8.9984185 39.6322377, -8.9985399 39.6318115, -8.9986859 39.6312137, -8.9987813 39.6307077, -8.9988833 39.6299339, -8.9992119 39.6258289, -8.9992473 39.6254404, -8.9994212 39.6235393, -8.9995311 39.6223241, -8.999633 39.6209389, -8.9998137 39.6185415, -8.999826 39.6183527, -9.0001801 39.6139468, -9.0014172 39.5979682, -9.0014629 39.5975801, -9.0015742 39.5971463, -9.0017556 39.5966716, -9.0019749 39.5962778, -9.0022906 39.5958413, -9.0026519 39.5954542, -9.0030465 39.595107, -9.0080041 39.591504, -9.0144937 39.5868117)",
1740,3203280876,3203280897,,CIBRA,236.222,,314278974,,,,rail,False,,"LINESTRING (-8.9860545 39.653392, -8.9859905 39.6535774, -8.9859551 39.6537055, -8.9859127 39.6538798, -8.9858879 39.6539997, -8.9858814 39.6540732, -8.9858454 39.6543512, -8.9858383 39.6545284, -8.9858348 39.654681, -8.9858525 39.6548662, -8.9858808 39.6549916, -8.9859304 39.6551687, -8.9860011 39.6553676, -8.9860457 39.6554821)",spur
1741,3203280896,3203280906,,CIBRA,46.127,,314278974,,,,rail,False,,,spur
1742,3203280897,3203280906,,CIBRA,418.373,,314278975,,,,rail,False,,"LINESTRING (-8.9860457 39.6554821, -8.9860989 39.6557692, -8.9861445 39.6560459, -8.9861874 39.6562152, -8.9862952 39.6566819, -8.9863757 39.6568728, -8.9867146 39.657667, -8.9868081 39.6578407, -8.9870459 39.6582413, -8.9872939 39.6586513, -8.9875264 39.6590419)",spur
1743,3203289908,3203289918,90,Linha do Oeste,487.154,,"[473291164, 473291159]",,,,rail,False,,"LINESTRING (-8.9845428 39.6561847, -8.9848874 39.6555224, -8.9856032 39.6541467, -8.9858313 39.6537, -8.9866497 39.652115)",siding
1744,4178377134,4178386580,90,Linha do Oeste,85.49,,158200556,,,,rail,False,,,
1745,4178377134,4178377151,,,181.93,,417261839,,,,rail,False,,"LINESTRING (-9.0144937 39.5868117, -9.0146355 39.5866652, -9.0148386 39.5865195, -9.0150559 39.5863541, -9.0160041 39.5856654)",siding
1746,4178377140,4178377148,,,51.230000000000004,,417261839,,,,rail,False,,"LINESTRING (-9.0192732 39.5833541, -9.0188834 39.5835842, -9.0188003 39.5836359)",siding
1747,4178377140,4178386580,90,Linha do Oeste,476.272,,"[473291136, 158200556]",,,,rail,False,,"LINESTRING (-9.0192732 39.5833541, -9.0176879 39.584494, -9.0176646 39.584511, -9.0152219 39.5862862)",
1748,4178377148,4178377151,,,329.763,,417261840,,,,rail,False,,"LINESTRING (-9.0188003 39.5836359, -9.0181619 39.5840245, -9.0179875 39.5841361, -9.0175933 39.584422, -9.0167262 39.5850509, -9.0165171 39.5852203, -9.0160041 39.5856654)",siding
1749,4178386580,4178386582,,,39.533,,417262935,,,,rail,False,,,siding
1750,4178386582,4178386583,,,170.763,,417262935,,,,rail,False,,"LINESTRING (-9.015595 39.5860771, -9.0156688 39.5860301, -9.0157318 39.5859903, -9.0170434 39.5850229)",siding
1751,4178386582,4178386585,,,92.485,,417262938,,,,rail,False,,"LINESTRING (-9.015595 39.5860771, -9.0161261 39.5858436, -9.016289 39.5857738, -9.0165234 39.5856538)",siding
1752,4178386585,4674313503,,,115.507,,473291120,,,,rail,False,,,siding
1753,4178386585,4674313501,,,51.286,,473291119,,,,rail,False,,"LINESTRING (-9.0165234 39.5856538, -9.0162081 39.5858788, -9.016077 39.5859607)",siding
1754,7885525490,7885525491,,,46.889,,845217036,,,,rail,False,,,
1755,7885525490,7885525492,90,Linha do Oeste,314.277,,473291189,,,,rail,False,,"LINESTRING (-8.9432457 39.6905805, -8.9434414 39.6899418, -8.943548 39.6896745, -8.9437016 39.6893655, -8.9438606 39.6891018, -8.9440315 39.6888763, -8.9443078 39.6885626, -8.9445438 39.6883376, -8.9448369 39.6880834)",
1756,25399024,1675138336,190,"Linha do Norte, Lx=>Porto, linha 1",786.904,,155077299,,,,rail,False,,,
1757,25399024,1675138371,,,119.421,,155077410,,,,rail,False,,,
1758,25399024,6035192434,190,"Linha do Norte, Lx=>Porto, linha 1",6977.1100000000015,,"[154986977, 154986978, 154986980, 154986982, 154986983, 154986985, 154986986, 154986989, 155077299]",,,yes,rail,False,,"LINESTRING (-8.8551492 39.0755805, -8.847574 39.0803612, -8.8470861 39.0806659, -8.8465574 39.0809876, -8.8460972 39.0812591, -8.8455498 39.0815613, -8.8449876 39.0818516, -8.8444091 39.0821294, -8.8438259 39.0823899, -8.8432319 39.0826392, -8.8426281 39.0828683, -8.8421068 39.0830548, -8.8415331 39.0832415, -8.8409041 39.0834301, -8.8402677 39.0836029, -8.8396266 39.0837568, -8.8390247 39.0838885, -8.838369 39.0840131, -8.8377101 39.0841246, -8.8370476 39.0842275, -8.8362002 39.0843542, -8.8358495 39.0844074, -8.83511 39.0845195, -8.8344476 39.0846297, -8.8337909 39.0847465, -8.833136 39.0848857, -8.8325443 39.0850286, -8.8319559 39.0851867, -8.8313215 39.0853747, -8.8306918 39.0855798, -8.8296589 39.0859486, -8.8285872 39.086341, -8.8265887 39.0870769, -8.8258032 39.0873977, -8.8245068 39.0879997, -8.8233579 39.0885659, -8.8227778 39.0888418, -8.8221911 39.0891113, -8.8216266 39.0893528, -8.8210564 39.0895789, -8.8204703 39.0897954, -8.8198573 39.0900025, -8.8192248 39.0901934, -8.8186048 39.0903593, -8.8179959 39.0905014, -8.8174275 39.090623, -8.8168525 39.0907295, -8.8161774 39.0908377, -8.8155035 39.0909235, -8.8148287 39.0909935, -8.8141541 39.0910466, -8.8114118 39.0912158, -8.81077 39.091275, -8.8101123 39.0913508, -8.8094557 39.0914451, -8.808796 39.0915612, -8.8081601 39.0916893, -8.8075108 39.0918407, -8.8068713 39.0920099, -8.8062722 39.0921871, -8.805505 39.0924396, -8.805249 39.0925305, -8.8038 39.0930971, -8.8026806 39.093565, -8.801318 39.0941427, -8.8007337 39.0944055, -8.800232 39.0946484, -8.7997282 39.0949073, -8.7992289 39.0951843, -8.7987674 39.0954584, -8.7983169 39.0957419, -8.7979377 39.0959958, -8.7975657 39.0962563, -8.7970984 39.0966074, -8.7967109 39.0969487, -8.796503 39.0971116, -8.7935497 39.099527, -8.7927031 39.1002724, -8.7921534 39.1007434, -8.7917289 39.1011282, -8.7912061 39.1016435, -8.7908161 39.102064, -8.7904618 39.102454, -8.789847 39.103151, -8.7895335 39.103525, -8.7890416 39.1040892, -8.7885382 39.1046546, -8.7880256 39.1051801, -8.7872819 39.1059102, -8.7872213 39.1059693)",
1759,1014677750,1705810912,,,47.557,,158370984,,,,rail,False,,,siding
