desigcomercial;numbicicletas;numdocasvacias;position;add_data;add_hora
414 - Av. Duque de Ávila / Rua Pinheiro Chagas;4;15;"{""coordinates"": [-9.151, 38.735], ""type"": ""Point""}";2020-10-30;19:49:28.
412 - Av. Ressano Garcia / Av. António Augusto de Aguiar;1;15;"{""coordinates"": [-9.1546, 38.73448], ""type"": ""Point""}";2020-10-30;19:49:28.
112 - Alameda dos Oceanos / Passeio das Garças;14;0;"{""coordinates"": [-9.09622, 38.78069], ""type"": ""Point""}";2020-10-30;19:49:28.
219 - Praça do Município;11;11;"{""coordinates"": [-9.13951, 38.70797], ""type"": ""Point""}";2020-10-30;19:49:28.
452 - Rua Teixeira de Pascoais / Rua Dr. Gama Barros;2;8;"{""coordinates"": [-9.136681, 38.747751], ""type"": ""Point""}";2020-10-30;19:49:29.
457 - Rua Aboim Ascensão;5;5;"{""coordinates"": [-9.14722, 38.74975], ""type"": ""Point""}";2020-10-30;19:49:29.
309 - Rua da Palma;10;0;"{""coordinates"": [-9.13577, 38.71901], ""type"": ""Point""}";2020-10-30;19:49:29.
307 - Marquês de Pombal;5;28;"{""coordinates"": [-9.149334, 38.724954], ""type"": ""Point""}";2020-10-30;19:49:29.
115 - Passeio dos Heróis do Mar / Rua Capitão Cook;6;6;"{""coordinates"": [-9.09781, 38.793], ""type"": ""Point""}";2020-10-30;19:49:29.
305 - Avenida da Liberdade / Rua Barata Salgueiro;5;11;"{""coordinates"": [-9.147, 38.72228], ""type"": ""Point""}";2020-10-30;19:49:29.
490 - Rua Fernando Namora / Azinhaga da Torre do Fato;4;12;"{""coordinates"": [-9.17849, 38.76026], ""type"": ""Point""}";2020-10-30;19:49:29.
106 - Jardim Garcia da Orta;6;8;"{""coordinates"": [-9.092506, 38.769459], ""type"": ""Point""}";2020-10-30;19:49:27.
464 - Av. da Igreja / Rua Afonso Lopes Vieira;7;7;"{""coordinates"": [-9.148427, 38.75165], ""type"": ""Point""}";2020-10-30;19:49:27.
417 - Av. Duque de Ávila / Jardim Arco Do Cego;5;18;"{""coordinates"": [-9.142703, 38.735352], ""type"": ""Point""}";2020-10-30;19:49:28.
225 - Martim Moniz;11;5;"{""coordinates"": [-9.13694, 38.71526], ""type"": ""Point""}";2020-10-30;19:49:28.
450 - Rua Alfredo Cortês;6;4;"{""coordinates"": [-9.14399, 38.74626], ""type"": ""Point""}";2020-10-30;19:49:28.
431 - Rua do Arco Cego / Av. Magalhães Lima;1;13;"{""coordinates"": [-9.14199, 38.73937], ""type"": ""Point""}";2020-10-30;19:49:28.
408 - Praça Duque de Saldanha;0;10;"{""coordinates"": [-9.144117, 38.733749], ""type"": ""Point""}";2020-10-30;19:49:28.
483 - Rua Professor Francisco Lucas Pires ;4;12;"{""coordinates"": [-9.16405, 38.75939], ""type"": ""Point""}";2020-10-30;19:49:29.
103 - Jardim da Água;8;12;"{""coordinates"": [-9.095019, 38.761218], ""type"": ""Point""}";2020-10-30;19:49:29.
301 - Avenida da Liberdade / Restauradores;3;19;"{""coordinates"": [-9.14242, 38.71702], ""type"": ""Point""}";2020-10-30;19:49:29.
442 - Campo Pequeno;5;11;"{""coordinates"": [-9.14523, 38.743371], ""type"": ""Point""}";2020-10-30;19:49:29.
304 - Avenida da Liberdade / São Jorge;1;15;"{""coordinates"": [-9.14637, 38.72026], ""type"": ""Point""}";2020-10-30;19:49:29.
460 - Av. Rio de Janeiro / Parque de Jogos 1º de Maio;6;9;"{""coordinates"": [-9.13749, 38.75176], ""type"": ""Point""}";2020-10-30;19:49:29.
477 - Alameda da Universidade / Faculdade de Direito;0;24;"{""coordinates"": [-9.15671, 38.75264], ""type"": ""Point""}";2019-07-03;17:16:53.
478 - Alameda da Universidade / Faculdade de Letras;1;31;"{""coordinates"": [-9.15717, 38.75359], ""type"": ""Point""}";2019-09-10;12:01:56.
420 - Av. Rovisco Pais / Av. Manuel da Maia;4;22;"{""coordinates"": [-9.13672, 38.73617], ""type"": ""Point""}";2020-10-30;19:49:28.
218 - Cais do Sodré;8;14;"{""coordinates"": [-9.14471, 38.70617], ""type"": ""Point""}";2020-10-30;19:49:28.
114 - Via do Oriente;4;6;"{""coordinates"": [-9.09974, 38.78836], ""type"": ""Point""}";2020-10-30;19:49:28.
430 - Av. Barbosa Du Bocage / Rua Arco do Cego;0;20;"{""coordinates"": [-9.14329, 38.74081], ""type"": ""Point""}";2020-10-30;19:49:28.
419 - Av. António José de Almeida / Instituto Superior Técnico;5;20;"{""coordinates"": [-9.13956, 38.73811], ""type"": ""Point""}";2020-10-30;19:49:28.
102 - Porta do Mar;12;2;"{""coordinates"": [-9.096439, 38.759156], ""type"": ""Point""}";2020-10-30;19:49:29.
426 - Av. Elias Garcia / Av. 5 de Outubro;2;12;"{""coordinates"": [-9.14793, 38.739046], ""type"": ""Point""}";2020-10-30;19:49:29.
449 - Av. 5 de Outubro / Rua da Cruz Vermelha;2;12;"{""coordinates"": [-9.150085, 38.746836], ""type"": ""Point""}";2020-10-30;19:49:29.
484 - Rua Professor Vieira de Almeida;3;19;"{""coordinates"": [-9.16658, 38.76081], ""type"": ""Point""}";2020-10-30;19:49:29.
212 - Av. Infante Dom Henrique / Terminal de Cruzeiros;10;10;"{""coordinates"": [-9.12769, 38.71035], ""type"": ""Point""}";2020-10-30;19:49:29.
107 - Rotunda dos Vice-Reis;8;6;"{""coordinates"": [-9.095416, 38.774505], ""type"": ""Point""}";2020-10-30;19:49:30.
473 - Av. do Brasil / Av. de Roma;0;14;"{""coordinates"": [-9.14697, 38.75643], ""type"": ""Point""}";2020-10-30;19:49:30.
